T,E_per_spin,M_abs_per_spin,Cv_per_spin,chi_per_spin
0,-2,1,-nan,-nan
0.1,-1.33333,0,0,0
0.2,-1.33333,0,0,0
0.3,-2,1,0,0
0.4,-2,1,0,0
0.5,-2,1,0,0
0.6,-1.99999,0.999997,0.000246901,9.2588e-06
0.7,-1.9999,0.999976,0.00155942,6.82246e-05
0.8,-1.99968,0.999919,0.00405662,0.00020526
0.9,-1.99868,0.999667,0.0132288,0.000772114
1,-1.99726,0.999301,0.0225513,0.00151353
1.1,-1.99415,0.998493,0.0404147,0.00309636
1.2,-1.98856,0.997011,0.068048,0.00606616
1.3,-1.98008,0.994719,0.102674,0.0102567
1.4,-1.968,0.991374,0.144094,0.0168318
1.5,-1.95088,0.986466,0.197465,0.0273996
1.6,-1.92732,0.979153,0.268611,16.5323
1.7,-1.90167,0.971116,0.330575,16.7725
1.8,-1.85986,0.95697,0.43639,18.3647
1.9,-1.80744,0.937196,0.566534,16.7319
2,-1.74453,0.911659,0.694614,15.263
2.1,-1.67102,0.880144,0.811713,13.6957
2.2,-1.58265,0.83839,0.940206,12.0967
2.3,-1.48836,0.791483,1.00413,10.551
2.4,-1.3874,0.736859,1.03643,9.05004
2.5,-1.28001,0.677966,0.999525,7.61868
2.6,-1.18291,0.622692,0.940613,6.40871
2.7,-1.09079,0.568852,0.835283,5.33692
2.8,-1.01699,0.525831,0.735437,4.53066
2.9,-0.945224,0.483268,0.643019,3.81581
3,-0.88653,0.448216,0.55515,3.2515
3.1,-0.836339,0.420641,0.488946,2.81911
3.2,-0.787534,0.391352,0.426202,2.41721
3.3,-0.746331,0.369037,0.368892,2.11495
3.4,-0.715076,0.352702,0.327211,1.88869
3.5,-0.684662,0.337257,0.297671,1.69861
3.6,-0.65326,0.320784,0.261822,1.50571
3.7,-0.629613,0.308639,0.240665,1.36944
3.8,-0.607996,0.29891,0.22268,1.25962
3.9,-0.58388,0.288101,0.200421,1.14304
4,-0.564991,0.279553,0.185193,1.05377
4.1,-0.54836,0.272345,0.173908,0.982181
4.2,-0.532344,0.26444,0.161797,0.909626
4.3,-0.516441,0.258384,0.149985,0.846946
4.4,-0.500647,0.252751,0.140274,0.79527
4.5,-0.487649,0.248605,0.133081,0.751896
4.6,-0.474779,0.242136,0.124931,0.699919
4.7,-0.461499,0.238198,0.116944,0.663581
4.8,-0.452391,0.235228,0.11222,0.634826
4.9,-0.441349,0.230677,0.106235,0.600582
5,-0.432837,0.228373,0.100568,0.576095
5.1,-0.421136,0.224399,0.0953434,0.546401
5.2,-0.412098,0.221817,0.0904577,0.524218
5.3,-0.40133,0.217627,0.0863811,0.495554
5.4,-0.394586,0.215414,0.0824416,0.478145
5.5,-0.385779,0.212599,0.0795374,0.457759
5.6,-0.377339,0.211296,0.0756459,0.443766
5.7,-0.370642,0.208338,0.0717071,0.424078
5.8,-0.362222,0.204838,0.0695328,0.404324
5.9,-0.357669,0.203851,0.0667184,0.393631
6,-0.34835,0.201971,0.0643685,0.379566
6.1,-0.343408,0.199995,0.0621552,0.367325
6.2,-0.33679,0.198818,0.0596596,0.356089
6.3,-0.331314,0.196981,0.0580842,0.345221
6.4,-0.324941,0.194829,0.055925,0.332819
6.5,-0.320314,0.194631,0.0537207,0.326089
6.6,-0.314312,0.191911,0.051544,0.313185
6.7,-0.309928,0.192754,0.0506999,0.310511
6.8,-0.305848,0.189759,0.0483218,0.298201
6.9,-0.300019,0.187809,0.0469975,0.287329
7,-0.296353,0.187981,0.045644,0.283699
7.1,-0.292316,0.186474,0.0438982,0.275795
7.2,-0.287689,0.185319,0.0423512,0.267906
7.3,-0.282956,0.184895,0.0414599,0.263233
7.4,-0.280019,0.183467,0.0404364,0.256338
7.5,-0.274812,0.181684,0.0387937,0.247468
7.6,-0.270747,0.181448,0.0379301,0.24417
7.7,-0.266328,0.180612,0.0367675,0.238075
7.8,-0.263883,0.179021,0.0355531,0.231943
7.9,-0.26031,0.179106,0.0349058,0.229377
8,-0.255263,0.177264,0.033715,0.221929
8.1,-0.252796,0.177527,0.033069,0.219799
8.2,-0.250606,0.175812,0.0319029,0.212881
8.3,-0.248793,0.176238,0.0313646,0.211093
8.4,-0.243986,0.174532,0.0306327,0.20484
8.5,-0.241539,0.174964,0.0297059,0.203171
8.6,-0.238748,0.173961,0.029046,0.197856
8.7,-0.234443,0.173662,0.0283152,0.195823
8.8,-0.231386,0.172938,0.0273975,0.191651
8.9,-0.231399,0.173106,0.0270514,0.190166
9,-0.22651,0.171298,0.026206,0.18484
9.1,-0.223732,0.170549,0.0255686,0.180406
9.2,-0.22162,0.169923,0.0251877,0.177145
9.3,-0.219641,0.169873,0.0246866,0.175586
9.4,-0.216657,0.168782,0.0238865,0.171338
9.5,-0.216544,0.168864,0.0236116,0.169861
9.6,-0.21168,0.167663,0.0230196,0.166275
9.7,-0.210088,0.167737,0.0224852,0.164217
9.8,-0.208032,0.167324,0.0217874,0.161697
9.9,-0.205768,0.167311,0.0215199,0.159297
10,-0.202279,0.166178,0.0209733,0.15611
