T,E_per_spin,M_abs_per_spin,Cv_per_spin,chi_per_spin
0,-2,1,-nan,inf
0.1,-2,1,0,360
0.2,-2,1,0,180
0.3,-2,1,0,120
0.4,-2,1,0,90
0.5,-2,1,0,72
0.6,-2,1,0,60
0.7,-1.9999,0.999976,0.00166823,51.4261
0.8,-1.99958,0.999894,0.00526775,44.9908
0.9,-1.99886,0.999712,0.0114539,39.9776
1,-1.99704,0.999245,0.0243681,35.9473
1.1,-1.99408,0.998477,0.0404208,32.6308
1.2,-1.98871,0.997056,0.0663066,29.8294
1.3,-1.97981,0.994641,0.103349,27.4068
1.4,-1.96827,0.991458,0.143014,25.2936
1.5,-1.95084,0.986411,0.1975,23.3794
1.6,-1.92857,0.979687,0.26258,21.6393
1.7,-1.89822,0.970014,0.342303,19.9968
1.8,-1.85898,0.956669,0.439747,18.4176
1.9,-1.80881,0.938044,0.554176,16.8572
2,-1.74622,0.912304,0.690493,15.278
2.1,-1.67321,0.880588,0.819318,13.7238
2.2,-1.58584,0.839413,0.930885,12.1239
2.3,-1.48788,0.790071,1.016,10.5374
2.4,-1.38435,0.735728,1.02806,9.01761
2.5,-1.27797,0.676837,1.01037,7.59844
2.6,-1.18289,0.6225,0.940422,6.40204
2.7,-1.09525,0.571099,0.843031,5.37666
2.8,-1.01307,0.522726,0.733206,4.49039
2.9,-0.942334,0.481715,0.648164,3.79329
3,-0.886419,0.449493,0.5586,3.26135
3.1,-0.833179,0.418456,0.481371,2.79495
3.2,-0.791844,0.393436,0.419182,2.43958
3.3,-0.751157,0.371695,0.374433,2.14165
3.4,-0.712861,0.351226,0.32644,1.87884
3.5,-0.683671,0.335233,0.294808,1.68057
3.6,-0.657507,0.322324,0.266238,1.52446
3.7,-0.628804,0.308743,0.241653,1.37135
3.8,-0.60661,0.29814,0.218785,1.24876
3.9,-0.580648,0.288179,0.20309,1.14418
4,-0.56337,0.279463,0.188718,1.05473
4.1,-0.551343,0.272604,0.17308,0.983388
4.2,-0.527786,0.264891,0.161334,0.907283
4.3,-0.517358,0.259208,0.150659,0.852162
4.4,-0.497639,0.252283,0.14176,0.792588
4.5,-0.486968,0.248297,0.131712,0.749387
4.6,-0.46993,0.24059,0.123314,0.693749
4.7,-0.466236,0.238372,0.11733,0.665239
4.8,-0.451589,0.235012,0.11106,0.63293
4.9,-0.441332,0.230112,0.105582,0.598113
5,-0.433216,0.227613,0.0999724,0.572734
5.1,-0.419353,0.223246,0.0950938,0.542054
5.2,-0.411148,0.221773,0.0924633,0.523338
5.3,-0.399391,0.217473,0.0872419,0.495958
5.4,-0.394878,0.215175,0.0830263,0.477215
5.5,-0.38613,0.213815,0.0788038,0.459984
5.6,-0.379643,0.211542,0.0756488,0.444418
5.7,-0.373299,0.208283,0.0728956,0.425898
5.8,-0.361008,0.206199,0.0694199,0.408489
5.9,-0.355836,0.204724,0.0667222,0.396757
6,-0.348846,0.202985,0.0642953,0.38431
6.1,-0.336832,0.201003,0.062414,0.369943
6.2,-0.336392,0.198422,0.0589596,0.355342
6.3,-0.332049,0.198492,0.0577839,0.348927
6.4,-0.325732,0.195476,0.0547655,0.333621
6.5,-0.320072,0.194745,0.0533936,0.325418
6.6,-0.314479,0.192364,0.0509019,0.315186
6.7,-0.305842,0.190734,0.0492988,0.304243
6.8,-0.308739,0.192254,0.0483412,0.304102
6.9,-0.29777,0.187707,0.0461909,0.287286
7,-0.293397,0.185836,0.0449743,0.277369
7.1,-0.295714,0.187697,0.0442759,0.2786
7.2,-0.289833,0.186354,0.0432022,0.27097
7.3,-0.282624,0.183954,0.0415649,0.261038
7.4,-0.279828,0.183456,0.0392341,0.255442
7.5,-0.273264,0.183224,0.0389748,0.252626
7.6,-0.268446,0.180327,0.0374397,0.240129
7.7,-0.270662,0.180531,0.0363897,0.238327
7.8,-0.268366,0.179783,0.0359596,0.23329
7.9,-0.259592,0.178655,0.0341184,0.227329
8,-0.253603,0.176431,0.0340272,0.220014
8.1,-0.256948,0.178326,0.0332777,0.221626
8.2,-0.249354,0.174794,0.032143,0.21136
8.3,-0.249291,0.175459,0.0308578,0.209613
8.4,-0.242711,0.174911,0.0302057,0.204519
8.5,-0.242056,0.174401,0.0297081,0.202092
8.6,-0.236447,0.173952,0.0290744,0.198377
8.7,-0.231561,0.172388,0.0285654,0.192772
8.8,-0.233989,0.174267,0.0275999,0.194414
8.9,-0.230439,0.171482,0.026759,0.186855
9,-0.228144,0.171038,0.0263075,0.182876
9.1,-0.218959,0.170683,0.0264369,0.180835
9.2,-0.218777,0.169216,0.0246497,0.175474
9.3,-0.218607,0.171503,0.024392,0.178748
9.4,-0.209774,0.168714,0.0244817,0.171728
9.5,-0.215789,0.169701,0.0236075,0.171446
9.6,-0.212626,0.168994,0.0230509,0.168091
9.7,-0.205236,0.166189,0.02247,0.161591
9.8,-0.211109,0.167102,0.0216483,0.162141
9.9,-0.206548,0.168331,0.0221142,0.162351
10,-0.201318,0.166532,0.0213388,0.157449
